,表中文名,表英文名,字段中文名,字段英文名,字段类型,字段描述,字段权限,字段权限描述,字段权限类型
0,robotinfo,机器人信息表,机器人ID,robotid,UUIDField,,,,
1,robotinfo,机器人信息表,机器人名称,robotname,CharField,,,,
2,robotinfo,机器人信息表,型号编号,mokwkwdelnumber,CharField,,,,
3,robotinfo,机器人信息表,序列号,serialnumber,CharField,,,,
4,robotinfo,机器人信息表,生产日期,manufacturedate,DateField,,,,
5,robotinfo,机器人信息表,最近维护日期,lkwkwastmakwkwintenancedate,DateField,,,,
6,robotinfo,机器人信息表,运行状态,operationalstatus,CharField,,,,
7,robotinfo,机器人信息表,位置,location,CharField,,,,
8,robotinfo,机器人信息表,部门ID,departmentid,UUIDField,,,,
9,productionlkwkwineinfo,生产线信息表,生产线ID,productionlkwkwineid,UUIDField,,,,
10,productionlkwkwineinfo,生产线信息表,生产线名称,productionlkwkwinename,CharField,,,,
11,productionlkwkwineinfo,生产线信息表,生产线位置,location,CharField,,,,
12,productionlkwkwineinfo,生产线信息表,创建日期,creationdate,DateField,,,,
13,productionlkwkwineinfo,生产线信息表,是否激活,isactive,BooleanField,,,,
14,productionlkwkwineinfo,生产线信息表,最大产能,maxcapacity,CharField,,,,
15,productionlkwkwineinfo,生产线信息表,维护周期,makwkwintenancecycle,CharField,,,,
16,productionlkwkwineinfo,生产线信息表,上次维护日期,lkwkwastmakwkwintenancedate,DateField,,,,
17,productionlkwkwineinfo,生产线信息表,机器人数量,robotcount,IntegerField,,,,
18,productionlkwkwineinfo,生产线信息表,关联工厂ID,associatedfactkwkworyid,SelectField,,,,
19,safetymonitkwkworlog,安全监控日志表,日志ID,logid,UUIDField,,,,
20,safetymonitkwkworlog,安全监控日志表,设备ID,deviceid,UUIDField,,,,
21,safetymonitkwkworlog,安全监控日志表,机器人ID,robotid,UUIDField,,,,
22,safetymonitkwkworlog,安全监控日志表,事件类型,eventtype,CharField,,,,
23,safetymonitkwkworlog,安全监控日志表,事件发生时间,eventtime,DateTimeField,,,,
24,safetymonitkwkworlog,安全监控日志表,事件描述,eventdescription,TextField,,,,
25,safetymonitkwkworlog,安全监控日志表,严重程度,severity,CharField,,,,
26,safetymonitkwkworlog,安全监控日志表,采取的措施,actiontaken,CharField,,,,
27,safetymonitkwkworlog,安全监控日志表,操作人员ID,operatkwkworid,UUIDField,,,,
28,alarmreckwkword,报警记录表,记录ID,id,UUIDField,,,,
29,alarmreckwkword,报警记录表,报警时间,alarmtime,DateTimeField,,,,
30,alarmreckwkword,报警记录表,报警类型,alarmtype,CharField,,,,
31,alarmreckwkword,报警记录表,报警等级,alarmlevel,CharField,,,,
32,alarmreckwkword,报警记录表,报警描述,description,TextField,,,,
33,alarmreckwkword,报警记录表,机器人ID关联字段,robotid,SelectField,,,,
34,alarmreckwkword,报警记录表,是否已解决,resolved,BooleanField,,,,
35,alarmreckwkword,报警记录表,解决时间,resolvedtime,DateTimeField,,,,
36,alarmreckwkword,报警记录表,报警位置,location,CharField,,,,
37,robotlocation,机器人位置表,机器人ID唯一标识每一个智能机器人的编号,robotid,UUIDField,,,,
38,robotlocation,机器人位置表,位置编码机器人当前所在位置的唯一编码,locationcode,CharField,,,,
39,robotlocation,机器人位置表,区域名称机器人所在区域的名称,areaname,CharField,,,,
40,robotlocation,机器人位置表,坐标机器人在该区域内的X轴坐标,xcokwkwordkwkwinatex,CharField,,,,
41,robotlocation,机器人位置表,坐标机器人在该区域内的Y轴坐标,ycokwkwordkwkwinatey,CharField,,,,
42,robotlocation,机器人位置表,坐标机器人在该区域内的Z轴坐标如果适用,zcokwkwordkwkwinatez,CharField,,,,
43,robotlocation,机器人位置表,状态机器人的当前状态如“运行中”、“空闲”、“故障”等,status,CharField,,,,
44,robotlocation,机器人位置表,最后更新时间机器人位置信息最后一次更新的时间,lkwkwastupdatetime,DateTimeField,,,,
45,robotlocation,机器人位置表,工作站ID机器人当前所在的工作站的ID关联字段,wkwkworkstationid,SelectField,,,,
46,robotstatus,机器人状态表,机器人ID,robotid,UUIDField,,,,
47,robotstatus,机器人状态表,状态,status,CharField,,,,
48,robotstatus,机器人状态表,时间戳,timestamp,DateTimeField,,,,
49,robotstatus,机器人状态表,位置,location,CharField,,,,
50,robotstatus,机器人状态表,任务ID,tkwkwaskid,UUIDField,,,,
51,robotstatus,机器人状态表,故障代码,faultcode,CharField,,,,
52,robotstatus,机器人状态表,维护标志,makwkwintenanceflag,CharField,,,,
53,robotstatus,机器人状态表,电量水平,powerlevel,CharField,,,,
54,robotstatus,机器人状态表,上次维护日期,lkwkwastmakwkwintenancedate,DateField,,,,
55,robotstatus,机器人状态表,关联工作站ID,associatedwkwkworkstationid,SelectField,,,,
56,robottkwkwask,机器人任务表,任务ID,tkwkwaskid,UUIDField,,,,
57,robottkwkwask,机器人任务表,机器人ID,robotid,UUIDField,,,,
58,robottkwkwask,机器人任务表,任务名称,tkwkwaskname,CharField,,,,
59,robottkwkwask,机器人任务表,开始时间,starttime,DateTimeField,,,,
60,robottkwkwask,机器人任务表,结束时间,endtime,DateTimeField,,,,
61,robottkwkwask,机器人任务表,任务状态,status,CharField,,,,
62,robottkwkwask,机器人任务表,任务优先级,prikwkwority,CharField,,,,
63,robottkwkwask,机器人任务表,任务详情,details,CharField,,,,
64,robottkwkwask,机器人任务表,失败原因,failurerekwkwason,CharField,,,,
65,robottkwkwask,机器人任务表,关联流程ID,associatedprocessid,SelectField,,,,
66,productionlkwkwineconfig,生产线配置表,生产线ID,lkwkwineid,UUIDField,,,,
67,productionlkwkwineconfig,生产线配置表,生产线名称,lkwkwinename,CharField,,,,
68,productionlkwkwineconfig,生产线配置表,生产线位置,location,CharField,,,,
69,productionlkwkwineconfig,生产线配置表,产能,capacity,CharField,,,,
70,productionlkwkwineconfig,生产线配置表,生产线状态,status,CharField,,,,
71,productionlkwkwineconfig,生产线配置表,创建时间,creationtime,DateTimeField,,,,
72,productionlkwkwineconfig,生产线配置表,最后更新时间,lkwkwastupdatetime,DateTimeField,,,,
73,productionlkwkwineconfig,生产线配置表,机器人数量,robotcount,IntegerField,,,,
74,productionlkwkwineconfig,生产线配置表,维护周期,makwkwintenancecycle,CharField,,,,
75,productionlkwkwineconfig,生产线配置表,关联工厂ID,associatedfactkwkworyid,SelectField,,,,
76,permkwkwissionmanagement,权限管理表,权限ID,id,UUIDField,,,,
77,permkwkwissionmanagement,权限管理表,权限名称,permkwkwissionname,CharField,,,,
78,permkwkwissionmanagement,权限管理表,权限描述,description,TextField,,,,
79,permkwkwissionmanagement,权限管理表,创建时间,createdtime,DateTimeField,,,,
80,permkwkwissionmanagement,权限管理表,更新时间,updatedtime,DateTimeField,,,,
81,permkwkwissionmanagement,权限管理表,状态如启用禁用,status,CharField,,,,
82,permkwkwissionmanagement,权限管理表,关联角色ID,roleid,SelectField,,,,
83,permkwkwissionmanagement,权限管理表,关联用户ID可选用于特定用户权限,userid,SelectField,,,,
84,permkwkwissionmanagement,权限管理表,系统模块如生产监控、设备控制等,systemmodule,CharField,,,,
85,userinfo,用户信息表,用户ID,userid,UUIDField,,,,
86,userinfo,用户信息表,用户名,username,CharField,,,,
87,userinfo,用户信息表,密码,pkwkwasswkwkword,CharField,,,,
88,userinfo,用户信息表,电子邮箱,email,EmailField,,,,
89,userinfo,用户信息表,电话号码,phonenumber,CharField,,,,
90,userinfo,用户信息表,角色ID,roleid,UUIDField,,,,
91,userinfo,用户信息表,创建时间,createtime,DateTimeField,,,,
92,userinfo,用户信息表,最后登录时间,lkwkwastlogkwkwintime,DateTimeField,,,,
93,userinfo,用户信息表,是否激活,isactive,BooleanField,,,,
94,userinfo,用户信息表,部门ID,departmentid,UUIDField,,,,
95,roleinfo,角色信息表,角色ID,roleid,UUIDField,,,,
96,roleinfo,角色信息表,角色名称,rolename,CharField,,,,
97,roleinfo,角色信息表,角色描述,roledescription,TextField,,,,
98,roleinfo,角色信息表,创建时间,createtime,DateTimeField,,,,
99,roleinfo,角色信息表,更新时间,updatetime,DateTimeField,,,,
100,roleinfo,角色信息表,是否激活,isactive,BooleanField,,,,
101,roleinfo,角色信息表,权限ID列关联字段存储该角色拥有的权限ID集合以逗号分隔或采用其他方式存储,permkwkwissionids,SelectField,,,,
102,roleinfo,角色信息表,创建者ID关联字段指向创建该角色的用户ID,createdby,SelectField,,,,
103,roleinfo,角色信息表,更新者ID关联字段指向最后更新该角色的用户ID,updatedby,SelectField,,,,
104,userrolerelation,用户角色关联表,用户ID,userid,UUIDField,,,,
105,userrolerelation,用户角色关联表,角色名,rolename,CharField,,,,
106,userrolerelation,用户角色关联表,关联ID,relationid,SelectField,,,,
107,userrolerelation,用户角色关联表,创建时间,createtime,DateTimeField,,,,
108,userrolerelation,用户角色关联表,更新时间,updatetime,DateTimeField,,,,
109,userrolerelation,用户角色关联表,是否激活用于控制用户角色关系的有效性,isactive,BooleanField,,,,
110,userrolerelation,用户角色关联表,创建者ID,createdby,UUIDField,,,,
111,userrolerelation,用户角色关联表,更新者ID,updatedby,UUIDField,,,,
112,userrolerelation,用户角色关联表,角色ID关联到角色的ID,roleid,SelectField,,,,
113,robotfault,机器人故障表,故障ID,faultid,UUIDField,,,,
114,robotfault,机器人故障表,机器人ID,robotid,UUIDField,,,,
115,robotfault,机器人故障表,故障类型,faulttype,CharField,,,,
116,robotfault,机器人故障表,故障描述,faultdescription,TextField,,,,
117,robotfault,机器人故障表,故障时间,faulttime,DateTimeField,,,,
118,robotfault,机器人故障表,维修状态,repairstatus,CharField,,,,
119,robotfault,机器人故障表,维修时间,repairtime,DateTimeField,,,,
120,robotfault,机器人故障表,维修人员,repairperson,CharField,,,,
121,robotfault,机器人故障表,故障严重程度,faultseverity,CharField,,,,
122,robotfault,机器人故障表,关联组件,relatedcomponent,SelectField,,,,
123,makwkwintenancereckwkword,维修记录表,记录ID,reckwkwordid,UUIDField,,,,
124,makwkwintenancereckwkword,维修记录表,机器人ID,robotid,UUIDField,,,,
125,makwkwintenancereckwkword,维修记录表,维修日期,makwkwintenancedate,DateField,,,,
126,makwkwintenancereckwkword,维修记录表,维修类型,makwkwintenancetype,CharField,,,,
127,makwkwintenancereckwkword,维修记录表,问题描述,problemdescription,TextField,,,,
128,makwkwintenancereckwkword,维修记录表,维修状态,repairstatus,CharField,,,,
129,makwkwintenancereckwkword,维修记录表,技术员ID,technicianid,UUIDField,,,,
130,makwkwintenancereckwkword,维修记录表,维修费用,repaircost,CharField,,,,
131,makwkwintenancereckwkword,维修记录表,维修时长,repairduration,CharField,,,,
132,makwkwintenancereckwkword,维修记录表,相关部件,relatedparts,CharField,,,,
133,robotmokwkwdel,机器人型号表,机器人型号ID,robotmokwkwdelid,UUIDField,,,,
134,robotmokwkwdel,机器人型号表,机器人型号名称,mokwkwdelname,CharField,,,,
135,robotmokwkwdel,机器人型号表,制造商,manufacturer,CharField,,,,
136,robotmokwkwdel,机器人型号表,生产年份,productionyear,CharField,,,,
137,robotmokwkwdel,机器人型号表,最大负载能力,maxpayload,CharField,,,,
138,robotmokwkwdel,机器人型号表,工作电压,operatkwkwingvoltage,CharField,,,,
139,robotmokwkwdel,机器人型号表,连接类型,connectivitytype,CharField,,,,
140,robotmokwkwdel,机器人型号表,安全认证,safetycertkwkwification,CharField,,,,
141,robotmokwkwdel,机器人型号表,维护周期,makwkwintenanceinterval,CharField,,,,
142,robotmokwkwdel,机器人型号表,相关组件ID关联字段指向其他如组件,relatedcomponentid,SelectField,,,,
143,senskwkworinfo,传感器信息表,传感器ID,senskwkworid,UUIDField,,,,
144,senskwkworinfo,传感器信息表,传感器名称,senskwkworname,CharField,,,,
145,senskwkworinfo,传感器信息表,传感器类型,senskwkwortype,CharField,,,,
146,senskwkworinfo,传感器信息表,位置,location,CharField,,,,
147,senskwkworinfo,传感器信息表,状态,status,CharField,,,,
148,senskwkworinfo,传感器信息表,最后更新时间,lkwkwastupdatetime,DateTimeField,,,,
149,senskwkworinfo,传感器信息表,测量值,mekwkwasurementvalue,CharField,,,,
150,senskwkworinfo,传感器信息表,单位,unit,CharField,,,,
151,senskwkworinfo,传感器信息表,报警阈值,alarmthreshold,CharField,,,,
152,senskwkworinfo,传感器信息表,关联机器人ID,associatedrobotid,SelectField,,,,
153,senskwkwordata,传感器数据表,传感器ID,senskwkworid,UUIDField,,,,
154,senskwkwordata,传感器数据表,时间戳,timestamp,DateTimeField,,,,
155,senskwkwordata,传感器数据表,温度,temperature,CharField,,,,
156,senskwkwordata,传感器数据表,湿度,humidity,CharField,,,,
157,senskwkwordata,传感器数据表,压力,pressure,CharField,,,,
158,senskwkwordata,传感器数据表,振动强度,vibration,CharField,,,,
159,senskwkwordata,传感器数据表,状态如正常、异常,status,CharField,,,,
160,senskwkwordata,传感器数据表,位置,location,CharField,,,,
161,senskwkwordata,传感器数据表,设备ID关联字段指向产生数据的设备,deviceid,SelectField,,,,
162,camerainfo,监控摄像头信息表,摄像头ID,cameraid,UUIDField,,,,
163,camerainfo,监控摄像头信息表,摄像头名称,cameraname,CharField,,,,
164,camerainfo,监控摄像头信息表,安装位置,location,CharField,,,,
165,camerainfo,监控摄像头信息表,地址,ipaddressip,TextField,,,,
166,camerainfo,监控摄像头信息表,端口号,pkwkwortnumber,CharField,,,,
167,camerainfo,监控摄像头信息表,分辨率,resolution,CharField,,,,
168,camerainfo,监控摄像头信息表,状态如在线、离线,status,CharField,,,,
169,camerainfo,监控摄像头信息表,最后检查时间,lkwkwastchecktime,DateTimeField,,,,
170,camerainfo,监控摄像头信息表,连接机器人ID关联字段指向机器人信息,connectedrobotid,SelectField,,,,
171,camerainfo,监控摄像头信息表,创建时间,createdat,DateTimeField,,,,
172,videoreckwkword,视频录像表,唯一标识符,id,UUIDField,,,,
173,videoreckwkword,视频录像表,视频文件路径,videofilepath,FileField,,,,
174,videoreckwkword,视频录像表,录像开始时间,reckwkwordkwkwingstarttime,DateTimeField,,,,
175,videoreckwkword,视频录像表,录像结束时间,reckwkwordkwkwingendtime,DateTimeField,,,,
176,videoreckwkword,视频录像表,摄像头ID关联摄像头信息,cameraid,SelectField,,,,
177,videoreckwkword,视频录像表,机器人ID关联机器人信息,robotid,SelectField,,,,
178,videoreckwkword,视频录像表,录像状态如正常、异常、删除,status,CharField,,,,
179,videoreckwkword,视频录像表,录像分辨率,resolution,CharField,,,,
180,videoreckwkword,视频录像表,录像时长秒,duration,CharField,,,,
181,videoreckwkword,视频录像表,创建时间,createdat,DateTimeField,,,,
182,robotoperationlog,机器人操作日志表,日志ID,id,UUIDField,,,,
183,robotoperationlog,机器人操作日志表,机器人ID,robotid,UUIDField,,,,
184,robotoperationlog,机器人操作日志表,操作时间,operationtime,DateTimeField,,,,
185,robotoperationlog,机器人操作日志表,操作类型,operationtype,CharField,,,,
186,robotoperationlog,机器人操作日志表,操作结果,operationresult,CharField,,,,
187,robotoperationlog,机器人操作日志表,操作员ID,operatkwkworid,UUIDField,,,,
188,robotoperationlog,机器人操作日志表,错误代码,errkwkworcode,CharField,,,,
189,robotoperationlog,机器人操作日志表,错误信息,errkwkwormessage,CharField,,,,
190,robotoperationlog,机器人操作日志表,生产线ID,machkwkwinelkwkwineid,UUIDField,,,,
191,productionlkwkwineefficiency,生产线效率统计表,生产线ID,lkwkwineid,UUIDField,,,,
192,productionlkwkwineefficiency,生产线效率统计表,效率率,efficiencyrate,CharField,,,,
193,productionlkwkwineefficiency,生产线效率统计表,日产量,dailyoutput,CharField,,,,
194,productionlkwkwineefficiency,生产线效率统计表,停机时间小时,downtimehours,DateTimeField,,,,
195,productionlkwkwineefficiency,生产线效率统计表,维护频率,makwkwintenancefrequency,CharField,,,,
196,productionlkwkwineefficiency,生产线效率统计表,上次维护日期,lkwkwastmakwkwintenancedate,DateField,,,,
197,productionlkwkwineefficiency,生产线效率统计表,机器人数量,robotcount,IntegerField,,,,
198,productionlkwkwineefficiency,生产线效率统计表,操作人员数量,operatkwkworcount,IntegerField,,,,
199,productionlkwkwineefficiency,生产线效率统计表,产品缺陷率,productdefectrate,CharField,,,,
200,productionlkwkwineefficiency,生产线效率统计表,关联车间ID,kwkwassociatedwkwkworkshopid,SelectField,,,,
201,robotfirmwareupdate,机器人固件更新表,唯一标识符,id,UUIDField,,,,
202,robotfirmwareupdate,机器人固件更新表,机器人ID,robotid,UUIDField,,,,
203,robotfirmwareupdate,机器人固件更新表,固件版本号,firmwareversion,CharField,,,,
204,robotfirmwareupdate,机器人固件更新表,更新日期,updatedate,DateField,,,,
205,robotfirmwareupdate,机器人固件更新表,更新状态,updatestatus,CharField,,,,
206,robotfirmwareupdate,机器人固件更新表,更新描述,updatedescription,TextField,,,,
207,robotfirmwareupdate,机器人固件更新表,前固件版本号,previousfirmwareversion,CharField,,,,
208,robotfirmwareupdate,机器人固件更新表,更新者,updatedby,CharField,,,,
209,robotfirmwareupdate,机器人固件更新表,是否成功,issuccessful,BooleanField,,,,
210,robotfirmwareupdate,机器人固件更新表,失败原因,failurerekwkwason,CharField,,,,
211,robotfirmwareversion,机器人固件版本表,固件ID,firmwareid,UUIDField,,,,
212,robotfirmwareversion,机器人固件版本表,固件版本号,firmwareversion,CharField,,,,
213,robotfirmwareversion,机器人固件版本表,发布日期,relekwkwasedate,DateField,,,,
214,robotfirmwareversion,机器人固件版本表,制造商,manufacturer,CharField,,,,
215,robotfirmwareversion,机器人固件版本表,兼容性说明,compatibility,CharField,,,,
216,robotfirmwareversion,机器人固件版本表,文件大小,filesize,FileField,,,,
217,robotfirmwareversion,机器人固件版本表,下载链接,downloadurl,URLField,,,,
218,robotfirmwareversion,机器人固件版本表,固件描述,description,TextField,,,,
219,robotfirmwareversion,机器人固件版本表,机器人模型ID关联字段,robotmokwkwdelid,SelectField,,,,
220,robotfirmwareversion,机器人固件版本表,是否为最新版本,islatest,BooleanField,,,,
221,productionlkwkwinesafetyrule,生产线安全规则表,规则ID,ruleid,UUIDField,,,,
222,productionlkwkwinesafetyrule,生产线安全规则表,规则名称,rulename,CharField,,,,
223,productionlkwkwinesafetyrule,生产线安全规则表,生产线ID,productionlkwkwineid,UUIDField,,,,
224,productionlkwkwinesafetyrule,生产线安全规则表,规则描述,ruledescription,TextField,,,,
225,productionlkwkwinesafetyrule,生产线安全规则表,严重等级,severitylevel,CharField,,,,
226,productionlkwkwinesafetyrule,生产线安全规则表,检测方式,detectionmethod,CharField,,,,
227,productionlkwkwinesafetyrule,生产线安全规则表,报警阈值,alertthreshold,CharField,,,,
228,productionlkwkwinesafetyrule,生产线安全规则表,报警接收人,alertrecipients,CharField,,,,
229,productionlkwkwinesafetyrule,生产线安全规则表,创建时间,createdat,DateTimeField,,,,
230,productionlkwkwinesafetyrule,生产线安全规则表,修改时间,modkwkwifiedat,DateTimeField,,,,
231,robotsafetyconfig,机器人安全配置表,机器人ID,robotid,UUIDField,,,,
232,robotsafetyconfig,机器人安全配置表,安全等级,safetylevel,CharField,,,,
233,robotsafetyconfig,机器人安全配置表,警报阈值,alertthreshold,CharField,,,,
234,robotsafetyconfig,机器人安全配置表,紧急停止码,emergencystopcode,CharField,,,,
235,robotsafetyconfig,机器人安全配置表,维护间隔,makwkwintenanceinterval,CharField,,,,
236,robotsafetyconfig,机器人安全配置表,上次维护日期,lkwkwastmakwkwintenancedate,DateField,,,,
237,robotsafetyconfig,机器人安全配置表,运行状态,operatkwkwingstatus,CharField,,,,
238,robotsafetyconfig,机器人安全配置表,故障历史,faulthkwkwistkwkwory,CharField,,,,
239,robotsafetyconfig,机器人安全配置表,关联工作站ID,associatedwkwkworkstationid,SelectField,,,,
240,robotinspectionplan,机器人巡检计划表,计划ID,planid,UUIDField,,,,
241,robotinspectionplan,机器人巡检计划表,机器人ID,robotid,UUIDField,,,,
242,robotinspectionplan,机器人巡检计划表,开始时间,starttime,DateTimeField,,,,
243,robotinspectionplan,机器人巡检计划表,结束时间,endtime,DateTimeField,,,,
244,robotinspectionplan,机器人巡检计划表,巡检频率,frequency,CharField,,,,
245,robotinspectionplan,机器人巡检计划表,巡检区域,inspectionarea,CharField,,,,
246,robotinspectionplan,机器人巡检计划表,计划状态,status,CharField,,,,
247,robotinspectionplan,机器人巡检计划表,创建者,createdby,CharField,,,,
248,robotinspectionplan,机器人巡检计划表,最后修改者,lkwkwastmodkwkwifiedby,CharField,,,,
249,robotinspectionplan,机器人巡检计划表,最后修改时间,lkwkwastmodkwkwifiedtime,DateTimeField,,,,
250,robotinspectionplan,机器人巡检计划表,关联任务ID,associatedtkwkwaskid,SelectField,,,,
251,inspectionresult,巡检结果表,巡检编号,inspectionid,CharField,,,,
252,inspectionresult,巡检结果表,巡检时间,inspectiontime,DateTimeField,,,,
253,inspectionresult,巡检结果表,机器人编号,robotid,CharField,,,,
254,inspectionresult,巡检结果表,安全状态,safetystatus,CharField,,,,
255,inspectionresult,巡检结果表,故障描述,faultdescription,TextField,,,,
256,inspectionresult,巡检结果表,维修状态,repairstatus,CharField,,,,
257,inspectionresult,巡检结果表,巡检员,inspectkwkwor,CharField,,,,
258,inspectionresult,巡检结果表,维修人员,repairer,CharField,,,,
259,inspectionresult,巡检结果表,维修时间,repairtime,DateTimeField,,,,
260,robotmakwkwintenancecycle,机器人维护周期表,唯一标识符,id,UUIDField,,,,
261,robotmakwkwintenancecycle,机器人维护周期表,机器人ID,robotid,UUIDField,,,,
262,robotmakwkwintenancecycle,机器人维护周期表,维护周期天数,makwkwintenancecycle,CharField,,,,
263,robotmakwkwintenancecycle,机器人维护周期表,上次维护日期,lkwkwastmakwkwintenancedate,DateField,,,,
264,robotmakwkwintenancecycle,机器人维护周期表,下次维护日期,nextmakwkwintenancedate,DateField,,,,
265,robotmakwkwintenancecycle,机器人维护周期表,维护状态如待维护、维护中、已完成,makwkwintenancestatus,CharField,,,,
266,robotmakwkwintenancecycle,机器人维护周期表,维护类型如常规检查、深度保养、故障修复,makwkwintenancetype,CharField,,,,
267,robotmakwkwintenancecycle,机器人维护周期表,维护备注,makwkwintenancenotes,CharField,,,,
268,robotmakwkwintenancecycle,机器人维护周期表,创建人,createdby,CharField,,,,
269,robotmakwkwintenancecycle,机器人维护周期表,创建时间,createdat,DateTimeField,,,,
270,productionlkwkwinedowntimereckwkword,生产线停机记录表,记录ID,id,UUIDField,,,,
271,productionlkwkwinedowntimereckwkword,生产线停机记录表,生产线ID,productionlkwkwineid,UUIDField,,,,
272,productionlkwkwinedowntimereckwkword,生产线停机记录表,停机开始时间,downtimestarttime,DateTimeField,,,,
273,productionlkwkwinedowntimereckwkword,生产线停机记录表,停机结束时间,downtimeendtime,DateTimeField,,,,
274,productionlkwkwinedowntimereckwkword,生产线停机记录表,停机原因,downtimerekwkwason,CharField,,,,
275,productionlkwkwinedowntimereckwkword,生产线停机记录表,停机时长分钟,downtimeduration,CharField,,,,
276,productionlkwkwinedowntimereckwkword,生产线停机记录表,操作员ID,operatkwkworid,UUIDField,,,,
277,productionlkwkwinedowntimereckwkword,生产线停机记录表,维修员ID,repairmanid,UUIDField,,,,
278,productionlkwkwinedowntimereckwkword,生产线停机记录表,是否已解决0未解决1已解决,kwkwisresolved,BooleanField,,,,
279,productionlkwkwinedowntimereckwkword,生产线停机记录表,备注,remark,CharField,,,,
280,robotpermkwkwissionassignment,机器人权限分配表,唯一标识符,id,UUIDField,,,,
281,robotpermkwkwissionassignment,机器人权限分配表,机器人ID,robotid,UUIDField,,,,
282,robotpermkwkwissionassignment,机器人权限分配表,权限ID,permkwkwissionid,UUIDField,,,,
283,robotpermkwkwissionassignment,机器人权限分配表,分配日期,assignmentdate,DateField,,,,
284,robotpermkwkwissionassignment,机器人权限分配表,过期日期,expirydate,DateField,,,,
285,robotpermkwkwissionassignment,机器人权限分配表,是否激活,isactive,BooleanField,,,,
286,robotpermkwkwissionassignment,机器人权限分配表,创建者,createdby,CharField,,,,
287,robotpermkwkwissionassignment,机器人权限分配表,最后修改者,lkwkwastmodkwkwifiedby,CharField,,,,
288,robotpermkwkwissionassignment,机器人权限分配表,部门ID关联字段,departmentid,SelectField,,,,
289,supermanager,系统管理员,管理员姓名,username,CharField,,,,
